cip6,field,category
50299,"Ethnic, cultural minority, and gender studies, other",nsfstem
59999,"Area, ethnic, cultural, and gender studies, other",nsfstem
160102,Linguistics,nsfstem
160105,Applied linguistics,nsfstem
160199,"Linguistic, Comparative, and Related Language Studies and Services, Other",nsfstem
161602,"Linguistic, comparative, and related language studies and services, other",nsfstem
301101,Gerontology,nsfstem
301701,Behavioral sciences,nsfstem
302001,International/global studies,nsfstem
302301,Intercultural/multicultural and diversity studies,nsfstem
440501,Public policy analysis,nsfstem
440502,Education policy analysis,nsfstem
440503,Health policy analysis,nsfstem
440504,International policy analysis,nsfstem
440599,"Public policy analysis, other",nsfstem
450101,"Social sciences, general",nsfstem
450102,Research methodology and quantitative methods,nsfstem
450401,Criminology,nsfstem
450501,Demography and population studies,nsfstem
450701,Geography,nsfstem
450799,"Geography, other",nsfstem
450901,International relations and affairs,nsfstem
450902,National security policy studies,nsfstem
450999,"International relations and national security studies, other",nsfstem
451201,Urban studies/affairs,nsfstem
459999,"Social sciences, other",nsfstem
513201,Bioethics/medical ethics,nsfstem
130101,"Education, general",nonstem
130201,Bilingual and multilingual education,nonstem
130202,Multicultural education,nonstem
130203,Indian/Native American education,nonstem
130299,"Bilingual, multilingual, and multicultural education, other",nonstem
130301,Curriculum and instruction,nonstem
130401,"Educational leadership and administration, general",nonstem
130402,Administration of special education,nonstem
130403,Adult and continuing education administration,nonstem
130404,"Educational, instructional, and curriculum supervision",nonstem
130406,Higher education/higher education administration,nonstem
130407,Community college education,nonstem
130408,Elementary and middle school administration/principalship,nonstem
130409,Secondary school administration/principalship,nonstem
13041,Urban education and leadership,nonstem
130411,Superintendency and educational system administration,nonstem
130499,"Educational administration and supervision, other",nonstem
130501,Educational/instructional media design,nonstem
130601,Educational evaluation and research,nonstem
130603,Educational statistics and research methods,nonstem
130604,"Educational assessment, testing, and measurement",nonstem
130607,Learning sciences,nonstem
130699,"Educational assessment, evaluation, and research, other",nonstem
130701,International and comparative education,nonstem
130901,Social and philosophical foundations of education,nonstem
131001,"Special education and teaching, general",nonstem
131003,"Education/teaching individuals with hearing impairments, including deafness",nonstem
131004,Education/teaching of the gifted and talented,nonstem
131005,Education/teaching of individuals with emotional disturbances,nonstem
131006,Education/teaching of individuals with mental retardation,nonstem
131007,Education/teaching of individuals with multiple disabilities,nonstem
131008,"Education/teaching individuals with orthopedic, other physical impairments",nonstem
131009,"Education/teaching individuals with vision impairments, including blindness",nonstem
131011,Education/teaching of individuals with specific learning disabilities,nonstem
131012,Education/teaching of individuals with speech or language impairments,nonstem
131013,Education/teaching of individuals with autism,nonstem
131014,Education/teaching of individuals who are developmentally delayed,nonstem
131015,Education/teaching of individuals in early childhood special education programs,nonstem
131017,Education/teaching of individuals in elementary special education programs,nonstem
131018,Education/teaching of individuals in jr high/middle school special ed programs,nonstem
131019,Education/teaching of individuals in secondary special education programs,nonstem
131099,"Special education and teaching, other",nonstem
131101,Counselor education/school counseling and guidance services,nonstem
131102,College student counseling and personnel services,nonstem
131199,"Student counseling and personnel services, other",nonstem
131201,Adult and continuing education and teaching,nonstem
131202,Elementary education and teaching,nonstem
131203,Junior high/intermediate/middle school education and teaching,nonstem
131205,Secondary education and teaching,nonstem
131206,"Teacher education, multiple levels",nonstem
131207,Montessori teacher education,nonstem
131208,Waldorf/steiner teacher education,nonstem
131209,Kindergarten/preschool education and teaching,nonstem
13121,Early childhood education and teaching,nonstem
131299,"Teacher education and professional development, specific levels and methods, other",nonstem
131301,Agricultural teacher education,nonstem
131302,Art teacher education,nonstem
131303,Business teacher education,nonstem
131304,Driver and safety teacher education,nonstem
131305,English/language arts teacher education,nonstem
131306,Foreign language teacher education,nonstem
131307,Health teacher education,nonstem
131308,Family and consumer sciences/home economics teacher education,nonstem
131309,Technology teacher education/industrial arts teacher education,nonstem
13131,Sales and marketing operations/marketing and distribution teacher education,nonstem
131311,Mathematics teacher education,nonstem
131312,Music teacher education,nonstem
131314,Physical education teaching and coaching,nonstem
131315,Reading teacher education,nonstem
131316,Science teacher education/general science teacher education,nonstem
131317,Social science teacher education,nonstem
131318,Social studies teacher education,nonstem
131319,Technical teacher education,nonstem
13132,Trade and industrial teacher education,nonstem
131321,Computer teacher education,nonstem
131322,Biology teacher education,nonstem
131323,Chemistry teacher education,nonstem
131324,Drama and dance teacher education,nonstem
131325,French language teacher education,nonstem
131326,German language teacher education,nonstem
131327,Health occupations teacher education,nonstem
131328,History teacher education,nonstem
131329,Physics teacher education,nonstem
13133,Spanish language teacher education,nonstem
131331,Speech teacher education,nonstem
131332,Geography teacher education,nonstem
131333,Latin teacher education,nonstem
131334,School librarian/school library media specialist,nonstem
131335,Psychology teacher education,nonstem
131337,Earth science teacher education,nonstem
131338,Environmental education,nonstem
131399,"Teacher education and professional development, specific subject areas, other",nonstem
131401,Teaching English as a second or foreign language/esl language instructor,nonstem
131402,Teaching French as a second or foreign language,nonstem
131499,"Teaching English or French as a second or foreign language, other",nonstem
131501,Teacher assistant/aide,nonstem
131502,Adult literacy tutor/instructor,nonstem
131599,"Teaching Assistants/Aides, Other",nonstem
139999,"Education, other",nonstem
310501,"Health and physical education, general",nonstem
310504,Sport and fitness administration/management,nonstem
310599,"Health and physical education/fitness, other",nonstem
310601,Outdoor education,nonstem
390401,Religious education,nonstem
422805,School psychology,nonstem
422806,Educational psychology,nonstem
510913,Athletic training/trainer,nonstem
160101,"Foreign languages and literatures, general",nonstem
160103,Language interpretation and translation,nonstem
160104,Comparative literature,nonstem
160201,"African languages, literatures, and linguistics",nonstem
1603,"East Asian languages, literatures, and linguistics, general",nonstem
160301,Chinese language and literature,nonstem
160302,Japanese language and literature,nonstem
160303,Korean language and literature,nonstem
160399,"East Asian languages, literatures, and linguistics, other",nonstem
1604,"Slavic, Baltic, and Albanian languages, literatures, and linguistics, general",nonstem
160402,Russian language and literature,nonstem
160406,Czech language and literature,nonstem
160407,Polish language and literature,nonstem
160408,"Bosnian, Serbian, and Croatian Languages and Literatures",nonstem
160499,"Slavic, Baltic, and Albanian languages, literatures, and linguistics, other",nonstem
1605,"Germanic languages, literatures, and linguistics, general",nonstem
160501,German language and literature,nonstem
160502,"Scandinavian languages, literatures, and linguistics",nonstem
160503,Danish language and literature,nonstem
160504,Dutch/Flemish language and literature,nonstem
160505,Norwegian language and literature,nonstem
160506,Swedish language and literature,nonstem
160599,"Germanic languages, literatures, and linguistics, other",nonstem
160601,Modern Greek language and literature,nonstem
1607,"South Asian languages, literatures, and linguistics, general",nonstem
160701,Hindi Language and Literature,nonstem
160702,"Sanskrit and classical Indian languages, literatures, and linguistics",nonstem
160801,"Iranian/Persian languages, literatures, and linguistics",nonstem
1609,"Romance languages, literatures, and linguistics, general",nonstem
160901,French language and literature,nonstem
160902,Italian language and literature,nonstem
160904,Portuguese language and literature,nonstem
160905,Spanish language and literature,nonstem
160906,Romanian language and literature,nonstem
160908,"Hispanic and Latin American languages, literatures, and linguistics, general",nonstem
160999,"Romance languages, literatures, and linguistics, other",nonstem
161001,"American Indian/Native American languages, literatures, and linguistics",nonstem
1611,"Middle/Near Eastern and Semitic languages, literatures, and linguistics, general",nonstem
161101,Arabic language and literature,nonstem
161102,Hebrew language and literature,nonstem
161103,"Ancient Near Eastern and biblical languages, literatures, and linguistics",nonstem
161199,"Middle/Near Eastern and Semitic languages, literatures, and linguistics, other",nonstem
1612,"Classics and classical languages, literatures, and linguistics, general",nonstem
161202,Ancient/classical Greek language and literature,nonstem
161203,Latin language and literature,nonstem
161299,"Classics and classical languages, literatures, and linguistics, other",nonstem
161301,"Celtic languages, literatures, and linguistics",nonstem
161402,Indonesian/Malay Languages and Literatures,nonstem
161404,Filipino/Tagalog language and literature,nonstem
161501,Turkish language and literature,nonstem
161502,"Finnish and related languages, literatures, and linguistics",nonstem
169999,"Foreign languages, literatures, and linguistics, other",nonstem
230101,"English language and literature, general",nonstem
230401,English composition,nonstem
231001,Speech and rhetorical studies,nonstem
231301,"Writing, general",nonstem
231302,Creative writing,nonstem
231303,"Professional, technical, business, and scientific writing",nonstem
231304,Rhetoric and composition,nonstem
231399,"Rhetoric and composition/writing studies, other",nonstem
231401,General literature,nonstem
231402,American literature (US),nonstem
231404,English literature (British and Commonwealth),nonstem
231405,Children's and adolescent literature,nonstem
231499,"Literature, other",nonstem
239999,"English language and literature/letters, other",nonstem
